"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
          87,      -6.435388595,      -5.363989105,       -5.60430681,      -7.369070214,       5.184548309,       5.184548309,      0.2230962751,       1.178770674,       1.302197923
          88,      -6.441094643,      -5.380466397,      -5.609148877,      -7.365695654,       6.221457971,       6.221457971,       0.223268284,       1.178936546,       1.302521321
          89,      -6.443861922,       -5.38317242,      -5.640952875,      -7.365352746,       7.465749565,       7.465749565,      0.2234749379,       1.179137274,       1.302913698
          90,      -6.451581574,       -5.38529095,       -5.67122441,      -7.364950291,       8.958899478,       8.958899478,      0.2237235332,       1.179378699,       1.303388719
          91,      -6.459728693,      -5.389285466,      -5.683730291,      -7.364474062,       10.75067937,       10.75067937,      0.2240230391,       1.179668506,       1.303964146
          92,      -6.460574972,      -5.395287253,      -5.680039969,      -7.363914431,       12.90081525,       12.90081525,       0.224383794,       1.180016379,       1.304662171
          93,      -6.460408361,      -5.401911977,      -5.670642618,      -7.363266296,        15.4809783,        15.4809783,      0.2248176575,       1.180434143,       1.305509905
          94,      -6.461027385,      -5.408102863,       -5.66440626,      -7.362523696,       18.57717396,       18.57717396,      0.2253387425,       1.180935516,       1.306539962
          95,      -6.462171993,      -5.413751952,       -5.66125063,      -7.361676371,       22.29260875,       22.29260875,       0.225964303,       1.181535884,       1.307791419
          96,      -6.463860056,      -5.418968956,      -5.657641994,      -7.360711795,        26.7511305,        26.7511305,      0.2267153723,       1.182254512,       1.309313097
          97,      -6.465908758,      -5.423557882,      -5.652167891,      -7.359618559,        32.1013566,        32.1013566,      0.2276173422,        1.18312158,         1.3111714
          98,      -6.468518925,      -5.427211394,      -5.645201586,      -7.358390308,       38.52162792,       38.52162792,      0.2287006464,       1.184189553,       1.313462514
          99,      -6.471956475,      -5.429697954,      -5.637336096,      -7.357036468,        46.2259535,        46.2259535,      0.2299994314,       1.185543662,       1.316322614
         100,      -6.476277665,      -5.430976082,      -5.629163354,      -7.355574716,        46.2259535,        46.2259535,      0.2315436665,        1.18730299,       1.319922277
         101,      -6.481419242,      -5.431307052,      -5.621652766,      -7.354008447,        46.2259535,        46.2259535,       0.233056965,       1.189204598,       1.323671254
         102,      -6.487071962,      -5.431297964,      -5.619413338,      -7.352678538,        46.2259535,        46.2259535,      0.2345228682,       1.191245692,       1.327538212
         103,      -6.492459844,      -5.431580876,      -5.619797219,      -7.351591182,        46.2259535,        46.2259535,      0.2359290552,       1.193426288,       1.331496673
         104,      -6.498005378,      -5.432621978,      -5.621668008,      -7.350752031,        4.62259535,        4.62259535,      0.2372675262,       1.195748359,       1.335527164
         105,       -6.50285224,      -5.434337489,      -5.624642315,      -7.349869196,        5.54711442,        5.54711442,      0.2374010857,       1.195982529,       1.335932116
         106,      -6.503821513,      -5.434171166,      -5.634721038,      -7.349849252,       6.656537304,       6.656537304,      0.2375600386,       1.196266042,       1.336419132
         107,      -6.505574952,      -5.433369916,      -5.645732797,      -7.349817909,       7.987844765,       7.987844765,      0.2377493646,       1.196608631,       1.337004285
         108,      -6.509404492,      -5.433089847,      -5.652945358,      -7.349776301,       9.585413718,       9.585413718,      0.2379746558,       1.197022985,       1.337707478
         109,       -6.51110205,      -5.433957122,      -5.655005358,      -7.349729841,       11.50249646,       11.50249646,      0.2382419658,       1.197525727,       1.338553361
         110,      -6.511038818,      -5.435742748,      -5.653028582,      -7.349685094,       13.80299575,       13.80299575,      0.2385580251,       1.198138208,       1.339572187
         111,      -6.510691013,      -5.437801064,       -5.65010524,       -7.34964587,        16.5635949,        16.5635949,      0.2389306391,       1.198887396,       1.340800845
         112,      -6.510212675,      -5.439731756,      -5.648554555,      -7.349617822,       19.87631389,       19.87631389,      0.2393688294,       1.199807474,       1.342284446
         113,      -6.509578164,      -5.441564516,      -5.648307164,      -7.349609628,       23.85157666,       23.85157666,      0.2398823749,        1.20094237,       1.344078432
         114,      -6.508621409,      -5.443461042,      -5.648309056,      -7.349642366,       28.62189199,       28.62189199,      0.2404806171,       1.202348105,       1.346249931
         115,      -6.507154335,      -5.445441925,      -5.648042347,      -7.349734092,       34.34627039,       34.34627039,      0.2411706206,       1.204093471,       1.348876663
         116,      -6.505189574,      -5.447364267,      -5.647571231,      -7.349931832,       41.21552447,       41.21552447,      0.2419551281,       1.206257614,       1.352042014
         117,      -6.502959051,      -5.448988569,      -5.646890684,      -7.350298262,       41.21552447,       41.21552447,      0.2428301713,       1.208918923,       1.355821014
         118,      -6.501059592,      -5.449956798,      -5.645654367,       -7.35091978,       41.21552447,       41.21552447,      0.2436368819,       1.211601912,       1.359537698
         119,       -6.50053109,      -5.449807743,      -5.646422055,      -7.351770883,       41.21552447,       41.21552447,      0.2443746893,       1.214261172,       1.363148615
