"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
          83,       -6.10032086,      -4.479197053,      -4.740816393,      -7.008536023,      -2.917229316,       21.84105156,       21.84105156,      0.2372093368,       1.179892793,       1.331620111
          84,      -6.073971687,      -4.482102661,       -4.73835126,      -7.006000312,      -2.915539297,       26.20926187,       26.20926187,      0.2369150118,       1.179043259,       1.330330588
          85,      -6.049498699,      -4.484288433,      -4.738209256,      -7.003326106,      -2.907876951,       31.45111425,       31.45111425,       0.236550711,        1.17797981,       1.328721885
          86,      -6.017889547,      -4.486152043,      -4.737937848,      -7.000595737,      -2.895962152,        37.7413371,        37.7413371,      0.2360952934,       1.176638579,       1.326696411
          87,      -5.985972538,      -4.487613981,      -4.736315106,      -6.998234685,      -2.882536116,       45.28960451,       45.28960451,      0.2355307668,       1.174960862,       1.324166967
          88,      -5.943399511,      -4.488569698,      -4.733752533,      -6.995885369,      -2.868028399,       54.34752542,       54.34752542,      0.2348544182,       1.172920881,       1.321104243
          89,      -5.917802379,      -4.489178816,      -4.730272051,      -6.993569984,       -2.85237903,        65.2170305,        65.2170305,      0.2340727302,       1.170512445,       1.317515595
          90,      -5.871430696,      -4.488883053,      -4.726174599,      -6.991671415,      -2.832458871,        78.2604366,        78.2604366,      0.2331619325,       1.167661335,       1.313302587
          91,      -5.844633678,      -4.487720976,      -4.721044574,      -6.990685945,      -2.808276948,        7.82604366,        7.82604366,      0.2320301969,       1.164138837,       1.308129424
          92,      -5.800795327,      -4.485437256,      -4.714640005,      -7.034182549,      -2.895938328,       9.391252392,       9.391252392,      0.2319182025,       1.163795057,       1.307626679
          93,      -5.997877404,      -4.491572103,      -4.729765196,      -7.033140012,       -2.90596263,       11.26950287,       11.26950287,      0.2317813336,       1.163372549,       1.307007942
          94,      -6.077836504,      -4.493699852,      -4.752703515,      -7.031305569,      -2.912054707,       13.52340344,       13.52340344,      0.2316151126,       1.162858137,       1.306254751
          95,      -6.123055064,      -4.495742709,      -4.764149134,      -7.028959963,      -2.914436446,       16.22808413,       16.22808413,      0.2314133914,       1.162233107,        1.30534106
          96,      -6.109426888,      -4.498789237,      -4.762957803,        -7.0259888,       -2.91357592,       19.47370096,       19.47370096,      0.2311674661,       1.161471589,       1.304230561
          97,      -6.085994532,      -4.502046812,       -4.75742797,      -7.022503737,      -2.909529056,       23.36844115,       23.36844115,      0.2308649217,        1.16053792,       1.302872236
          98,      -6.068844814,      -4.504608439,      -4.754025731,      -7.018512459,      -2.904532624,       28.04212938,       28.04212938,      0.2304873145,       1.159381053,       1.301190871
          99,      -6.042152199,      -4.506573687,      -4.752629611,       -7.01402061,      -2.897239038,       33.65055526,       33.65055526,      0.2300066617,        1.15792654,       1.299073523
         100,      -6.013506338,      -4.508215318,      -4.750777234,      -7.009078519,      -2.887658171,       40.38066631,       40.38066631,      0.2293856199,       1.156077909,       1.296372218
         101,      -5.980562824,      -4.509523819,      -4.747912778,      -7.003497868,      -2.876620632,       48.45679957,       48.45679957,      0.2285899821,       1.153745808,       1.292954542
         102,      -5.956990392,       -4.51017787,      -4.743868625,      -6.997312517,      -2.865494426,       58.14815949,       58.14815949,      0.2276062736,       1.150886882,       1.288771848
         103,      -5.915747773,      -4.510216188,      -4.738720456,      -6.990855838,      -2.852397263,       69.77779139,       69.77779139,      0.2264292579,        1.14747303,       1.283812299
         104,      -5.887278547,      -4.509197593,       -4.73289799,      -6.984378737,      -2.836735444,       6.977779139,       6.977779139,      0.2250065597,       1.143361685,       1.277895537
         105,      -5.858268902,      -4.507052339,      -4.725659026,      -7.019714472,      -2.922062164,       8.373334966,       8.373334966,      0.2248655587,       1.142958623,       1.277317716
         106,      -6.012421065,      -4.512208653,      -4.736980895,      -7.018528549,      -2.930203533,       10.04800196,       10.04800196,      0.2246951421,       1.142469604,       1.276616477
         107,      -6.071621862,       -4.51396487,      -4.755602905,      -7.016730837,      -2.934433263,       12.05760235,       12.05760235,      0.2244894994,       1.141877695,       1.275768137
         108,      -6.107422877,      -4.515366688,      -4.766390308,      -7.014366487,      -2.934400776,       14.46912282,       14.46912282,      0.2242416313,       1.141162698,       1.274745121
         109,      -6.102937103,      -4.517689688,      -4.766379412,      -7.011652743,      -2.933355363,       17.36294739,       17.36294739,      0.2239425298,       1.140299145,       1.273512808
         110,      -6.084746846,      -4.520476478,      -4.761218809,      -7.008507811,       -2.92964292,       20.83553686,       20.83553686,      0.2235801288,       1.139253397,       1.272025081
         111,      -6.071476328,      -4.522830445,      -4.756878519,      -7.004931705,      -2.925873931,       25.00264424,       25.00264424,      0.2231374749,       1.137978808,       1.270216834
         112,      -6.051931676,      -4.524445901,       -4.75449799,      -7.000864153,      -2.921215384,       30.00317308,       30.00317308,      0.2225888057,       1.136406303,       1.267988983
         113,      -6.030835961,      -4.525543439,      -4.752254652,       -6.99623003,       -2.91458493,        36.0038077,        36.0038077,      0.2218946204,       1.134433471,       1.265191458
         114,      -6.011329699,      -4.526107663,      -4.748828043,      -6.990930777,        -2.9062783,       43.20456924,       43.20456924,       0.221004996,       1.131932557,       1.261639458
         115,       -5.97558429,       -4.52612638,      -4.744391907,      -6.985260281,      -2.896812475,       51.84548309,       51.84548309,      0.2198811013,       1.128797154,       1.257197486
         116,      -5.960642033,      -4.525213785,      -4.738577263,       -6.97959801,      -2.887765068,       62.21457971,       62.21457971,      0.2185161696,       1.124983505,       1.251856193
         117,      -5.922815659,      -4.523014302,      -4.732171234,      -6.974330578,      -2.876022558,       62.21457971,       62.21457971,      0.2169111636,       1.120444562,       1.245629088
         118,      -5.892841358,      -4.519188607,      -4.724187197,      -6.975768351,      -2.875324935,       62.21457971,       62.21457971,      0.2153300296,       1.115901095,        1.23952252
         119,      -5.892020247,      -4.515732774,      -4.719446427,      -6.976607654,      -2.871841803,       74.65749565,       74.65749565,      0.2137348089,       1.111239495,        1.23335304
