"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
         103,       -10.2813383,       -8.60416193,      -8.981912083,      -9.738876425,      -5.044916397,       45.28960451,       45.28960451,        0.10977682,       1.271854148,       1.259152847
         104,       -10.2815218,      -8.604327763,      -8.982048733,      -9.739088487,      -2.486218542,       4.528960451,       4.528960451,      0.1097766696,       1.271855341,       1.259153872
         105,      -10.28171087,      -8.604495424,        -8.9821894,      -9.744634949,      -2.857107111,                 1,                 1,      0.1097766559,       1.271855466,        1.25915398
         106,       -10.2831555,      -8.604040615,      -9.000331753,      -9.745229307,      -2.910956181,                 1,                 1,       0.109776653,       1.271855494,       1.259154004
         107,      -10.27469038,      -8.603803351,      -9.006039426,      -9.745285877,      -2.923396083,                 1,                 1,        0.10977665,       1.271855522,       1.259154028
         108,       -10.2675353,      -8.603503834,      -9.011898664,      -9.745333569,      -2.935814391,                 1,                 1,       0.109776647,        1.27185555,       1.259154052
         109,      -10.26350972,      -8.603168275,      -9.017650955,      -9.745375299,      -2.948210896,                 1,                 1,      0.1097766439,       1.271855577,       1.259154075
         110,      -10.26294038,      -8.602819192,       -9.02311934,      -9.745412793,       -2.96058537,                 1,                 1,      0.1097766408,       1.271855604,       1.259154099
         111,      -10.26543247,      -8.602475715,      -9.028193674,      -9.745447085,      -2.972937568,                 1,                 1,      0.1097766376,       1.271855632,       1.259154122
         112,      -10.27027096,      -8.602153639,      -9.032811848,      -9.745478798,      -2.985267227,                 1,                 1,      0.1097766343,       1.271855658,       1.259154145
         113,      -10.27661967,      -8.601865477,      -9.036943425,      -9.745508315,      -2.997574071,                 1,                 1,       0.109776631,       1.271855685,       1.259154168
         114,      -10.28363278,      -8.601620596,      -9.040577218,      -9.745535878,      -3.009857808,                 1,                 1,      0.1097766277,       1.271855712,       1.259154191
         115,      -10.29053898,      -8.601425413,      -9.043712486,      -9.745561646,      -3.022118137,                 1,                 1,      0.1097766244,       1.271855739,       1.259154214
         116,      -10.29671779,      -8.601283656,      -9.046353276,      -9.745585734,      -3.034354743,               1.2,               1.2,      0.1097766211,       1.271855765,       1.259154237
         117,      -10.30176106,      -8.601196648,      -9.048505637,      -9.745586899,      -3.046567308,                 1,                 1,       0.109776617,       1.271855797,       1.259154264
         118,      -10.30625523,      -8.601167596,      -9.050406266,      -9.745632864,      -3.061148367,                 1,                 1,      0.1097766136,       1.271855824,       1.259154287
         119,      -10.30851698,      -8.601196398,      -9.051515206,      -9.745652179,      -3.073307011,                 1,                 1,      0.1097766102,        1.27185585,        1.25915431
         120,      -10.30981782,      -8.601271437,      -9.052180479,      -9.745670167,      -3.085440529,                 1,                 1,      0.1097766069,       1.271855876,       1.259154332
         121,      -10.31046396,      -8.601387499,      -9.052432142,      -9.745686917,       -3.09754857,                 1,                 1,      0.1097766035,       1.271855903,       1.259154355
         122,      -10.31075815,      -8.601538688,      -9.052311354,      -9.745702521,      -3.109630784,                 1,                 1,      0.1097766001,       1.271855929,       1.259154378
         123,      -10.31095033,      -8.601718727,      -9.051869844,      -9.745717073,      -3.121686817,                 1,                 1,      0.1097765967,       1.271855955,         1.2591544
         124,      -10.31121455,      -8.601921234,      -9.051167607,      -9.745730669,      -3.133716314,                 1,                 1,      0.1097765933,       1.271855982,       1.259154423
         125,      -10.31164786,      -8.602139955,      -9.050269322,      -9.745743403,       -3.14571892,                 1,                 1,      0.1097765899,       1.271856008,       1.259154445
         126,      -10.31228313,      -8.602368976,      -9.049240261,       -9.74575537,      -3.157694279,                 1,                 1,      0.1097765865,       1.271856034,       1.259154468
         127,      -10.31310816,      -8.602602878,      -9.048142401,      -9.745766658,       -3.16964204,                 1,                 1,      0.1097765832,       1.271856061,        1.25915449
         128,      -10.31408503,      -8.602836862,      -9.047031282,      -9.745777353,       -3.18156185,               1.2,               1.2,      0.1097765798,       1.271856087,       1.259154513
         129,      -10.31516622,      -8.603066835,      -9.045953892,      -9.745763876,       -3.19345335,              1.44,              1.44,      0.1097765757,       1.271856118,        1.25915454
         130,      -10.31654727,      -8.603330874,      -9.044754809,      -9.745746519,      -3.207645422,             1.728,             1.728,      0.1097765708,       1.271856156,       1.259154572
         131,      -10.31829087,      -8.603627621,      -9.043484153,      -9.745724282,      -3.224564581,            2.0736,            2.0736,       0.109776565,       1.271856201,       1.259154611
         132,       -10.3204726,      -8.603953138,      -9.042219292,      -9.745695966,        -3.2447083,           2.48832,           2.48832,      0.1097765579,       1.271856256,       1.259154658
         133,       -10.3231691,      -8.604301719,      -9.041054108,      -9.745660136,      -3.268653221,          2.985984,          2.985984,      0.1097765494,       1.271856321,       1.259154714
         134,      -10.32642423,      -8.604668186,       -9.04007303,      -9.745615033,      -3.297062627,         3.5831808,         3.5831808,      0.1097765392,       1.271856399,       1.259154781
         135,      -10.33020721,      -8.605051265,      -9.039312623,      -9.745558403,      -3.330692205,        4.29981696,        4.29981696,      0.1097765267,       1.271856492,       1.259154861
         136,      -10.33438938,      -8.605456324,      -9.038726655,      -9.745487199,      -3.370392728,       5.159780352,       5.159780352,      0.1097765117,       1.271856605,       1.259154957
         137,      -10.33874638,      -8.605895079,       -9.03818173,      -9.745402538,      -3.417107909,       6.191736422,       6.191736422,      0.1097764935,       1.271856739,       1.259155072
         138,      -10.34298137,      -8.606381082,      -9.037501384,      -9.745296081,      -3.471865372,       7.430083707,       7.430083707,      0.1097764713,         1.2718569,        1.25915521
         139,      -10.34677771,      -8.606923287,       -9.03653954,      -9.745162412,      -3.535758817,       8.916100448,       8.916100448,      0.1097764443,       1.271857093,       1.259155375
         140,      -10.34985886,      -8.607521918,      -9.035232471,      -9.744993353,      -3.609920468,       10.69932054,       10.69932054,      0.1097764114,       1.271857324,       1.259155572
         141,       -10.3519989,      -8.608169501,      -9.033588346,      -9.744785647,       -3.69548555,       12.83918465,       12.83918465,      0.1097763713,         1.2718576,       1.259155807
         142,      -10.35299565,      -8.608854911,      -9.031627396,      -9.744522387,      -3.793555472,       15.40702157,       15.40702157,      0.1097763226,        1.27185793,       1.259156087
         143,      -10.35265302,      -8.609566324,      -9.029330303,      -9.744191186,      -3.905173415,       18.48842589,       18.48842589,      0.1097762638,       1.271858326,       1.259156423
         144,      -10.35076633,      -8.610290718,      -9.026634733,       -9.74377737,      -4.031331768,       22.18611107,       22.18611107,       0.109776194,       1.271858801,       1.259156826
         145,        -10.347115,      -8.611011384,      -9.023458657,      -9.743265526,      -4.173027473,       26.62333328,       26.62333328,      0.1097761125,       1.271859374,       1.259157312
         146,      -10.34146262,      -8.611704579,      -9.019711055,      -9.742636021,      -4.331356117,       31.94799994,       31.94799994,      0.1097760188,       1.271860065,       1.259157902
         147,      -10.33354137,      -8.612335909,       -9.01528441,      -9.741870714,      -4.507575285,       38.33759992,       38.33759992,      0.1097759119,       1.271860898,       1.259158617
         148,      -10.32304813,      -8.612856704,      -9.010043562,       -9.74095356,      -2.455542101,       46.00511991,       46.00511991,      0.1097757888,         1.2718619,        1.25915948
         149,      -10.30967468,      -8.613201038,       -9.00381844,      -9.739656871,      -2.801461415,       46.00511991,       46.00511991,       0.109775646,       1.271863106,       1.259160519
         150,      -10.29312047,      -8.613285821,      -8.996398619,       -9.73973794,      -3.179790698,       46.00511991,       46.00511991,      0.1097755052,       1.271864318,       1.259161562
         151,      -10.28838999,      -8.613030774,      -8.994884232,      -9.740089232,      -3.542581133,       46.00511991,       46.00511991,      0.1097753642,       1.271865536,       1.259162609
         152,      -10.28879651,      -8.612708616,      -8.994841424,      -9.740385639,      -3.885734653,       46.00511991,       46.00511991,      0.1097752214,       1.271866758,       1.259163659
         153,      -10.28926603,      -8.612439925,      -8.994405971,      -9.740689462,      -4.206248717,       46.00511991,       46.00511991,      0.1097750765,       1.271867983,       1.259164712
         154,      -10.28903599,      -8.612210074,      -8.993757444,      -9.740997824,      -4.503767182,       46.00511991,       46.00511991,      0.1097749294,       1.271869209,       1.259165767
         155,      -10.28873062,      -8.611999918,      -8.993175107,       -9.74131169,      -4.780098339,       46.00511991,       46.00511991,      0.1097747806,       1.271870434,       1.259166821
         156,      -10.28858481,      -8.611807341,      -8.992682865,      -9.741629464,      -5.036394443,       46.00511991,       46.00511991,      0.1097746305,       1.271871657,       1.259167873
         157,      -10.28851139,      -8.611633949,      -8.992241109,      -9.741943851,      -5.268540233,       46.00511991,       46.00511991,      0.1097744795,       1.271872876,       1.259168923
         158,      -10.28842838,      -8.611479452,      -8.991833334,      -9.742252076,      -5.462269055,       46.00511991,       46.00511991,      0.1097743281,        1.27187409,       1.259169968
         159,       -10.2883175,      -8.611342369,      -8.991456357,      -9.742552204,      -5.597492033,       46.00511991,       46.00511991,      0.1097741765,         1.2718753,        1.25917101
         160,      -10.28817729,      -8.611221097,      -8.991107204,      -9.742843085,      -5.670722587,       46.00511991,       46.00511991,      0.1097740249,       1.271876506,       1.259172048
         161,      -10.28800495,      -8.611114255,        -8.9907826,      -9.743124162,      -5.702405159,       46.00511991,       46.00511991,      0.1097738734,       1.271877708,       1.259173083
         162,        -10.287802,      -8.611020825,      -8.990480589,      -9.743395278,      -4.580317374,       46.00511991,       46.00511991,      0.1097737218,       1.271878908,       1.259174115
         163,      -10.28757563,      -8.610940219,      -8.990200366,      -9.743654783,      -2.487165283,                 1,                 1,      0.1097735699,       1.271880104,       1.259175143
         164,      -10.28734003,      -8.610871949,      -8.989941529,      -9.749620217,      -2.861851153,               1.2,               1.2,      0.1097735672,       1.271880133,       1.259175168
         165,       -10.2947308,      -8.610922673,      -8.993815363,      -9.749711251,      -2.874365692,              1.44,              1.44,      0.1097735638,       1.271880166,       1.259175197
         166,      -10.28710752,      -8.610789029,      -8.999721509,       -9.74978372,      -2.889311549,             1.728,             1.728,      0.1097735597,       1.271880206,       1.259175231
         167,      -10.27367687,      -8.610453126,      -9.007711014,      -9.749841497,        -2.9071446,            2.0736,            2.0736,      0.1097735545,       1.271880253,       1.259175272
         168,      -10.26427642,      -8.609922893,      -9.017379918,      -9.749887462,      -2.928399062,           2.48832,           2.48832,      0.1097735481,       1.271880309,        1.25917532
         169,      -10.26581955,      -8.609255612,      -9.027876181,      -9.749922342,        -2.9536977,          2.985984,          2.985984,      0.1097735401,       1.271880375,       1.259175377
         170,      -10.28011554,      -8.608576153,      -9.038025682,      -9.749944064,      -2.983761755,         3.5831808,         3.5831808,      0.1097735303,       1.271880454,       1.259175445
         171,      -10.30190545,      -8.608069778,      -9.046508149,      -9.749947971,      -3.019419632,        4.29981696,        4.29981696,      0.1097735183,       1.271880548,       1.259175525
         172,      -10.32052824,      -8.607929833,      -9.051924772,      -9.749927948,      -3.061612874,       5.159780352,       5.159780352,      0.1097735038,       1.271880659,       1.259175621
         173,      -10.32982291,      -8.608266864,      -9.053057125,      -9.749878076,      -3.111397245,       6.191736422,       6.191736422,      0.1097734863,       1.271880793,       1.259175735
