"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
         132,      -6.887018196,      -5.338253256,      -5.667661952,      -7.708836355,      -2.829092698,       9.585413718,       9.585413718,      0.1514537783,       1.200921721,       1.252340302
         133,       -6.92679378,      -5.335907726,      -5.705893349,      -7.713237008,      -2.840310659,       11.50249646,       11.50249646,      0.1515226529,       1.200941085,       1.252462328
         134,      -6.985118873,      -5.334548187,      -5.724785509,      -7.718626753,      -2.854653805,       13.80299575,       13.80299575,      0.1516038749,       1.200958767,       1.252600458
         135,      -6.986191788,      -5.334847486,      -5.722290878,       -7.72549702,       -2.87213162,        16.5635949,        16.5635949,      0.1516994768,       1.200973718,       1.252757921
         136,      -6.968320954,      -5.335772117,      -5.709859949,      -7.733860805,      -2.892564432,       19.87631389,       19.87631389,      0.1518115976,       1.200983192,       1.252936339
         137,      -6.951056575,       -5.33613849,      -5.699326721,      -7.744090987,      -2.916451571,       23.85157666,       23.85157666,      0.1519423958,       1.200981867,       1.253134889
         138,      -6.956589772,      -5.335584818,      -5.691899682,      -7.756729411,      -2.944444634,       28.62189199,       28.62189199,      0.1520938847,       1.200960782,       1.253349541
         139,      -6.942394934,      -5.334214975,      -5.684644473,      -7.772441192,      -2.977089274,       34.34627039,       34.34627039,      0.1522676024,       1.200906153,       1.253571785
         140,      -6.906613196,      -5.332051053,      -5.675048475,      -7.792024509,      -3.014728083,       41.21552447,       41.21552447,      0.1524647893,       1.200799429,       1.253788489
         141,      -6.878294316,      -5.328885984,      -5.662667319,      -7.816480057,      -3.057393783,       49.45862937,       49.45862937,      0.1526878234,        1.20061902,       1.253985038
         142,       -6.88378441,      -5.324350181,      -5.646676686,      -7.847005325,      -3.104479777,       59.35035524,       59.35035524,      0.1529406356,       1.200336963,       1.254143922
         143,       -6.83565069,      -5.318002329,      -5.628480535,      -7.885001704,      -3.154103571,       59.35035524,       59.35035524,      0.1532224833,       1.199898691,       1.254218279
         144,      -6.814428238,      -5.309368788,      -5.606851382,      -7.932718577,      -3.216070593,       59.35035524,       59.35035524,      0.1534762974,       1.199341174,       1.254146949
         145,      -6.808539581,      -5.299984325,      -5.594292782,      -7.982090636,      -3.269879359,       59.35035524,       59.35035524,      0.1536954988,         1.1986469,       1.253897676
         146,      -6.777121279,       -5.29025771,       -5.58444123,      -8.032863988,      -3.316521887,       59.35035524,       59.35035524,      0.1538791008,       1.197815844,       1.253461548
         147,      -6.788915304,      -5.280283351,      -5.572806553,      -8.084563704,      -3.356692442,       59.35035524,       59.35035524,      0.1540326694,       1.196867393,        1.25285824
         148,      -6.753140972,      -5.269934053,      -5.561760941,      -8.136676149,      -3.391051811,       59.35035524,       59.35035524,      0.1541657444,       1.195833167,          1.252127
         149,       -6.72852929,      -5.260548462,      -5.550229898,      -8.187252695,      -3.418624939,       59.35035524,       59.35035524,      0.1542882525,       1.194747125,        1.25131272
         150,      -6.473898403,      -5.252691698,      -5.539086965,       -8.23386773,      -3.439002748,       59.35035524,       59.35035524,      0.1544077491,        1.19363765,       1.250454233
         151,      -6.488165721,      -5.248908446,      -5.527705877,      -8.277843455,      -3.455621041,       59.35035524,       59.35035524,      0.1545282654,       1.192523693,        1.24957827
         152,      -6.543512829,      -5.246002822,      -5.521208457,      -8.323256013,      -3.472886097,       59.35035524,       59.35035524,      0.1546506004,       1.191414562,        1.24869885
         153,       -6.56874362,      -5.242593087,      -5.518726579,      -8.369476104,      -3.490606902,       59.35035524,       59.35035524,       0.154773376,       1.190312136,       1.247820287
         154,      -6.603413698,      -5.238859014,      -5.516939254,       -8.41101217,       -3.50551613,       59.35035524,       59.35035524,      0.1548943325,       1.189213875,       1.246941515
         155,       -6.64550132,       -5.23513785,      -5.512485734,      -8.450829733,      -3.519800929,       59.35035524,       59.35035524,      0.1550113269,       1.188115366,       1.246059697
         156,      -6.653093718,      -5.230709837,      -5.506768267,      -8.480936319,      -3.529912148,       59.35035524,       59.35035524,      0.1551228569,       1.187011877,       1.245172275
         157,      -6.689110973,      -5.226253379,       -5.50108336,      -8.507516292,      -3.539151286,       59.35035524,       59.35035524,      0.1552281685,       1.185898959,       1.244277491
         158,      -6.664654529,      -5.221734363,      -5.496035475,      -8.530700299,      -3.547624337,       59.35035524,       59.35035524,      0.1553271019,       1.184772381,       1.243373892
         159,      -6.692604206,      -5.217068341,       -5.48967592,      -8.546081991,      -3.553733578,       59.35035524,       59.35035524,      0.1554198838,        1.18362801,       1.242459745
         160,      -6.676324791,      -5.212068302,      -5.482900174,      -8.560667013,      -3.560174597,       59.35035524,       59.35035524,      0.1555070021,       1.182461861,       1.241532787
         161,      -6.671335709,      -5.206804848,      -5.476295337,      -8.570066622,      -3.565437947,       59.35035524,       59.35035524,      0.1555891994,       1.181270424,       1.240590458
         162,      -6.511627682,      -5.204169889,      -5.468535734,      -8.562743572,        -3.5654315,       59.35035524,       59.35035524,      0.1556674701,       1.180051037,       1.239630287
         163,      -6.517762143,      -5.203456087,       -5.46206643,      -8.552172378,       -3.56428445,       59.35035524,       59.35035524,      0.1557429593,       1.178802039,       1.238649983
         164,      -6.539577929,      -5.202886015,      -5.458593659,      -8.549528818,      -3.566204419,       59.35035524,       59.35035524,      0.1558167693,       1.177522578,       1.237647087
         165,      -6.546832778,      -5.202494672,      -5.456393579,      -8.557153744,      -3.572248981,       5.935035524,       5.935035524,      0.1558897189,         1.1762122,       1.236618389
         166,      -6.582390202,       -5.20280621,      -5.455472653,      -8.588625124,      -3.710367886,       7.122042629,       7.122042629,      0.1558968578,       1.176081866,       1.236518418
         167,      -6.697103792,      -5.204177667,       -5.48588247,      -8.599162978,      -3.700027191,       8.546451155,       8.546451155,      0.1559055733,        1.17592417,       1.236395949
         168,      -6.741394409,      -5.202958233,      -5.522016062,      -8.613522768,      -3.702307178,       10.25574139,       10.25574139,      0.1559162558,       1.175733809,       1.236246884
         169,      -6.797521168,      -5.203075164,      -5.540138011,      -8.608227492,      -3.701989229,       12.30688966,       12.30688966,      0.1559292505,       1.175504208,       1.236066285
