"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       
          97,      -4.987390183,      -4.384431725,      -4.449518047,        26.7511305,        26.7511305,    -0.02825484782,      0.5363334719
          98,      -4.989783227,      -4.384331343,      -4.451990487,        32.1013566,        32.1013566,     -0.0297568502,      0.5402001426
          99,      -4.993721223,       -4.38442289,      -4.454458671,       38.52162792,       38.52162792,    -0.02945252847,      0.5489582496
         100,      -4.999514541,      -4.384868745,      -4.456654248,        46.2259535,        46.2259535,    -0.02586415538,      0.5656151245
         101,      -5.007254015,      -4.385952214,      -4.458372264,        4.62259535,        4.62259535,    -0.01678872246,      0.5945151532
         102,      -5.016789162,      -4.388131302,      -4.459748978,        5.54711442,        5.54711442,    -0.01583251553,      0.5974896475
         103,      -5.017298523,      -4.387837564,      -4.459380952,       6.656537304,       6.656537304,    -0.01461529642,      0.6011890018
         104,       -5.01758663,      -4.387477104,      -4.458881798,       7.987844765,       7.987844765,     -0.0130541934,       0.605815408
         105,      -5.017857581,      -4.387055708,       -4.45825857,       9.585413718,       9.585413718,    -0.01103590824,      0.6116367884
         106,      -5.018190486,      -4.386559653,      -4.457510154,       11.50249646,       11.50249646,   -0.008404635304,      0.6190105686
         107,      -5.018637361,      -4.385976737,      -4.456636413,       13.80299575,       13.80299575,   -0.004944790074,      0.6284169742
         108,      -5.019250718,      -4.385302577,      -4.455644392,        16.5635949,        16.5635949,  -0.0003567785694,      0.6405055642
         109,      -5.020096789,      -4.384550308,      -4.454556124,       19.87631389,       19.87631389,    0.005775494482,      0.6561585563
         110,      -5.021269647,      -4.383762708,      -4.453418665,       23.85157666,       23.85157666,      0.0140249821,      0.6765721174
         111,      -5.022906278,      -4.383026618,      -4.452319261,       28.62189199,       28.62189199,     0.02516764446,       0.703353058
         112,       -5.02522944,      -4.382483647,      -4.451391624,       34.34627039,       34.34627039,     0.04022103176,      0.7386026434
         113,      -5.028571902,      -4.382358471,      -4.450824253,       41.21552447,       41.21552447,     0.06046147345,      0.7849574314
         114,      -5.033368235,      -4.383010266,      -4.450825887,       49.45862937,       49.45862937,     0.08738358429,       0.845517852
         115,       -5.04009645,       -4.38498482,      -4.451480806,       4.945862937,       4.945862937,      0.1224971629,      0.9234550468
         116,      -5.048808179,      -4.389026074,      -4.452534639,       5.935035524,       5.935035524,        0.12603931,      0.9313062777
         117,      -5.049712529,      -4.388949531,      -4.452056243,       7.122042629,       7.122042629,       0.130327332,      0.9407975438
         118,      -5.050074081,      -4.388786858,      -4.451437813,       8.546451155,       8.546451155,      0.1355235516,      0.9522807761
         119,      -5.050304577,      -4.388567749,      -4.450671278,       10.25574139,       10.25574139,      0.1418268403,      0.9661851776
         120,      -5.050529412,      -4.388291927,      -4.449741358,       12.30688966,       12.30688966,      0.1494799892,      0.9830317095
         121,      -5.050786349,      -4.387962493,      -4.448629329,        14.7682676,        14.7682676,      0.1587774451,       1.003448274
         122,      -5.051074179,      -4.387592482,      -4.447303927,       17.72192111,       17.72192111,       0.170070437,        1.02818081
         123,      -5.051343328,      -4.387219114,      -4.445715726,       21.26630534,       21.26630534,      0.1837686399,        1.05810151
         124,      -5.051481829,      -4.386914385,      -4.443786191,        25.5195664,        25.5195664,      0.2003298842,       1.094200251
         125,      -5.051285395,      -4.386788257,      -4.441404151,       30.62347969,       30.62347969,      0.2202263492,       1.137537912
         126,      -5.050440969,      -4.386971191,      -4.438435848,       36.74817562,       36.74817562,       0.243859124,       1.189099427
         127,      -5.048522963,      -4.387575486,      -4.434776371,       44.09781075,       44.09781075,      0.2713881194,       1.249463248
         128,      -5.045066286,      -4.388652402,      -4.430458628,       4.409781075,       4.409781075,      0.3024730149,       1.318262307
         129,      -5.039812997,      -4.390163527,      -4.425798842,        5.29173729,        5.29173729,      0.3055607161,       1.325103422
         130,       -5.03913085,      -4.389853278,      -4.424894159,       6.350084748,       6.350084748,      0.3092354166,       1.333255362
         131,      -5.038032171,      -4.389439439,      -4.423814419,       7.620101697,       7.620101697,      0.3135990699,       1.342950923
         132,      -5.036648208,      -4.388920596,      -4.422539937,       9.144122036,       9.144122036,      0.3187656526,       1.354453104
         133,      -5.034995124,      -4.388274483,      -4.421054273,       10.97294644,       10.97294644,      0.3248588217,       1.368051562
         134,      -5.033056154,      -4.387475529,      -4.419348847,       13.16753573,       13.16753573,       0.332006251,       1.384052733
         135,      -5.030803583,      -4.386498129,      -4.417427053,       15.80104288,       15.80104288,      0.3403284131,       1.402759657
         136,      -5.028211419,      -4.385323936,      -4.415308994,       18.96125145,       18.96125145,      0.3499192012,       1.424437083
         137,      -5.025271562,       -4.38395299,      -4.413037976,       22.75350175,       22.75350175,      0.3608143442,       1.449254532
         138,       -5.02200174,       -4.38241922,      -4.410696862,       27.30420209,       27.30420209,      0.3729370734,       1.477186109
         139,      -5.018489391,      -4.380799443,      -4.408434468,       32.76504251,       32.76504251,      0.3860158207,       1.507856636
         140,      -5.014941768,      -4.379218923,      -4.406508327,       39.31805102,       39.31805102,      0.3994627912,       1.540304588
         141,      -5.011699108,      -4.377858528,      -4.405364996,       3.931805102,       3.931805102,      0.4122024306,       1.572622356
         142,        -5.0093298,      -4.376974002,      -4.405747258,       4.718166122,       4.718166122,      0.4134433736,       1.575791319
         143,      -5.010342646,      -4.376782028,      -4.405643734,       5.661799346,       5.661799346,      0.4148832108,       1.579498281
         144,      -5.010407475,      -4.376401664,      -4.405479435,       6.794159216,       6.794159216,      0.4165396167,       1.583807839
         145,       -5.01008859,      -4.375894025,      -4.405285905,       8.152991059,       8.152991059,       0.418423827,        1.58877789
         146,       -5.00958814,      -4.375261745,      -4.405095731,       9.783589271,       9.783589271,       0.420534774,        1.59444919
         147,      -5.008995726,      -4.374504196,      -4.404954202,       11.74030712,       11.74030712,      0.4228500299,       1.600829035
         148,      -5.008364616,      -4.373617778,      -4.404924161,       14.08836855,       14.08836855,      0.4253121073,       1.607866375
         149,       -5.00774016,      -4.372601481,      -4.405092984,       16.90604226,       16.90604226,      0.4278083586,       1.615414808
         150,       -5.00718098,      -4.371466531,      -4.405580353,       20.28725071,       20.28725071,      0.4301429637,       1.623179868
         151,       -5.00677429,      -4.370246767,      -4.406553409,       24.34470085,       24.34470085,      0.4319976924,       1.630641135
         152,       -5.00666395,      -4.369009282,      -4.408243261,       29.21364102,       29.21364102,       0.432882531,        1.63694906
         153,      -5.007086477,      -4.367862821,      -4.410971691,       35.05636923,       35.05636923,      0.4320787741,       1.640799999
         154,      -5.008420523,      -4.366967488,      -4.415185237,       42.06764308,       42.06764308,      0.4285901055,       1.640316352
         155,      -5.011282011,      -4.366549675,      -4.421479876,       42.06764308,       42.06764308,      0.4211342794,       1.632996354
         156,      -5.016613392,      -4.366960102,      -4.430564981,       50.48117169,       50.48117169,      0.4108287619,       1.619709407
         157,       -5.02387249,      -4.367752573,      -4.440414583,       50.48117169,       50.48117169,      0.3951590254,       1.596686022
         158,      -5.034878106,      -4.369950481,      -4.453081735,       60.57740603,       60.57740603,      0.3770060293,       1.568212559
         159,      -5.048422845,      -4.372699161,      -4.465038219,       6.057740603,       6.057740603,       0.353080187,       1.529023202
         160,      -5.068095823,      -4.377670141,      -4.477940569,       7.269288723,       7.269288723,      0.3506659918,       1.525059813
         161,      -5.070731283,      -4.377640584,      -4.478656976,       8.723146468,       8.723146468,      0.3477404717,       1.520239207
         162,      -5.072747834,      -4.377583414,      -4.479323908,       10.46777576,       10.46777576,      0.3441926483,       1.514369797
         163,      -5.074921435,      -4.377526586,        -4.4800069,       12.56133091,       12.56133091,      0.3398883329,       1.507218989
         164,      -5.077556826,       -4.37748121,      -4.480734326,        15.0735971,        15.0735971,      0.3346670556,       1.498507422
         165,      -5.080871027,      -4.377466077,       -4.48150706,       18.08831652,       18.08831652,      0.3283404455,       1.487904947
         166,      -5.085094442,      -4.377516683,      -4.482293991,       21.70597982,       21.70597982,      0.3206936436,       1.475028902
         167,      -5.090501816,      -4.377694795,      -4.483028362,       26.04717578,       26.04717578,       0.311493518,       1.459449085
         168,       -5.09746485,      -4.378089014,      -4.483588132,       31.25661094,       31.25661094,        0.30051932,       1.440727777
         169,      -5.106433336,       -4.37882169,      -4.483817901,       37.50793313,       37.50793313,      0.2876322477,       1.418530017
         170,      -5.117915502,      -4.380052498,      -4.483568787,       37.50793313,       37.50793313,      0.2729006645,       1.392844059
         171,      -5.132359578,       -4.38199714,      -4.482798458,       37.50793313,       37.50793313,      0.2591934557,       1.368655784
