"Inner_Iter",     "rms[k]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       
         223,      -6.502761215,       28.44488546,       28.44488546,      0.1330581901,        1.79682708
         224,      -6.511426094,       34.13386256,       34.13386256,      0.1330214139,       1.797717665
         225,      -6.521446523,       40.96063507,       40.96063507,      0.1329767628,         1.7987511
         226,      -6.532938027,       49.15276208,       49.15276208,      0.1329115897,       1.799904952
         227,      -6.545921175,        58.9833145,        58.9833145,      0.1327957884,       1.801115211
         228,      -6.560273554,        70.7799774,        70.7799774,      0.1325859873,       1.802287704
         229,      -6.575666213,       84.93597288,       84.93597288,      0.1322297355,       1.803299093
         230,      -6.591447834,       101.9231675,       101.9231675,      0.1316837896,       1.804017615
         231,      -6.606549162,       101.9231675,       101.9231675,      0.1309571464,       1.804391765
         232,      -6.624182857,       101.9231675,       101.9231675,      0.1302484064,       1.804518156
         233,      -6.637519403,       101.9231675,       101.9231675,      0.1296379034,        1.80463039
         234,      -6.647182568,       101.9231675,       101.9231675,       0.129174826,         1.8049034
         235,       -6.65373075,       101.9231675,       101.9231675,      0.1288702926,       1.805414877
         236,      -6.657732283,       122.3078009,       122.3078009,      0.1287036664,          1.806146
         237,      -6.653876616,       12.23078009,       12.23078009,      0.1286436232,       1.807194625
         238,      -6.684011148,       14.67693611,       14.67693611,      0.1286389516,       1.807302978
         239,      -6.683620692,       17.61232334,       17.61232334,      0.1286336743,       1.807433913
         240,        -6.6829792,         21.134788,         21.134788,      0.1286245802,       1.807580973
         241,      -6.682241539,        25.3617456,        25.3617456,      0.1286119072,       1.807743754
         242,      -6.681244015,       30.43409472,       30.43409472,       0.128603943,       1.807942281
         243,      -6.679786244,       36.52091367,       36.52091367,      0.1286117125,       1.808206905
         244,      -6.677770089,        43.8250964,        43.8250964,      0.1286344792,       1.808541978
         245,      -6.675119017,       52.59011568,       52.59011568,      0.1286544873,       1.808907698
         246,        -6.6717119,       63.10813882,       63.10813882,      0.1286504719,       1.809247248
         247,      -6.667391829,       75.72976658,       75.72976658,      0.1286106012,       1.809513763
         248,      -6.661993647,        90.8757199,        90.8757199,      0.1285291312,       1.809653574
         249,      -6.655335954,       109.0508639,       109.0508639,      0.1284015116,       1.809580031
         250,      -6.647182328,       109.0508639,       109.0508639,      0.1282329356,       1.809192455
         251,      -6.643488971,       109.0508639,       109.0508639,      0.1280735888,       1.808579777
         252,      -6.639449802,       130.8610367,       130.8610367,      0.1279407107,       1.807819638
         253,       -6.62898661,       13.08610367,       13.08610367,      0.1278265756,       1.806785489
         254,      -6.654224894,        15.7033244,        15.7033244,      0.1278159107,       1.806682589
         255,      -6.653367911,       18.84398928,       18.84398928,      0.1278040129,       1.806557682
         256,      -6.652134747,       22.61278713,       22.61278713,      0.1277900578,       1.806398622
         257,      -6.650657675,       27.13534456,       27.13534456,      0.1277786622,       1.806202243
         258,      -6.648783884,       32.56241347,       32.56241347,      0.1277816889,       1.805984778
         259,      -6.646325939,       39.07489617,       39.07489617,      0.1278074004,        1.80576319
