"Inner_Iter",     "rms[k]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       
         138,      -6.568024198,       91.44122036,       91.44122036,      0.2095040423,       1.690156088
         139,      -6.603388258,       109.7294644,       109.7294644,      0.2049288689,       1.686988087
         140,      -6.639454063,       10.97294644,       10.97294644,       0.202419865,       1.690039775
         141,       -6.70405714,       13.16753573,       13.16753573,      0.2021913046,       1.690405119
         142,      -6.709045146,       15.80104288,       15.80104288,      0.2019597007,       1.690946326
         143,      -6.715117288,       18.96125145,       18.96125145,      0.2017373922,       1.691724556
         144,      -6.722603547,       22.75350175,       22.75350175,      0.2015458133,       1.692833511
         145,      -6.731563366,       27.30420209,       27.30420209,      0.2014359951,       1.694476105
         146,      -6.742345719,       32.76504251,       32.76504251,      0.2015149181,       1.697027732
         147,      -6.755411498,       39.31805102,       39.31805102,      0.2019525931,       1.701010259
         148,      -6.771211804,       47.18166122,       47.18166122,       0.202961916,       1.707019243
         149,      -6.790192052,       56.61799346,       56.61799346,      0.2047636355,       1.715670517
         150,      -6.812744263,       67.94159216,       67.94159216,       0.207546003,       1.727544869
         151,      -6.838814141,       81.52991059,       81.52991059,      0.2113812566,       1.742981994
         152,       -6.86808981,       97.83589271,       97.83589271,      0.2161023588,       1.761705597
         153,      -6.897057375,       117.4030712,       117.4030712,      0.2212201593,       1.782497074
         154,      -6.921294297,       11.74030712,       11.74030712,      0.2259057946,       1.803035435
         155,      -7.026908714,       14.08836855,       14.08836855,      0.2263643453,         1.8050664
         156,      -7.027256754,       16.90604226,       16.90604226,      0.2268830035,       1.807413459
         157,      -7.027417836,       20.28725071,       20.28725071,      0.2274511946,       1.810067907
         158,      -7.027494609,       24.34470085,       24.34470085,      0.2280490746,       1.813015383
         159,      -7.026660977,       29.21364102,       29.21364102,      0.2286587709,       1.816297718
         160,      -7.024557976,       35.05636923,       35.05636923,      0.2292674775,       1.819988418
         161,       -7.02092188,       42.06764308,       42.06764308,      0.2298496812,       1.824044621
         162,      -7.015763776,       50.48117169,       50.48117169,      0.2303777449,       1.828290275
         163,       -7.00879191,       60.57740603,       60.57740603,      0.2308150408,       1.832480152
         164,      -6.999528317,       72.69288723,       72.69288723,      0.2311195522,       1.836413813
         165,      -6.988706581,       87.23146468,       87.23146468,      0.2313184748,       1.840144716
         166,      -6.977386658,       104.6777576,       104.6777576,      0.2316448027,       1.844243767
         167,      -6.967868069,       10.46777576,       10.46777576,      0.2325975128,       1.849866538
         168,      -6.988023672,       12.56133091,       12.56133091,      0.2326974945,       1.850437029
         169,      -6.985867302,        15.0735971,        15.0735971,      0.2328240268,       1.851127356
         170,      -6.984009945,       18.08831652,       18.08831652,      0.2329824732,        1.85194199
         171,      -6.982673817,       21.70597982,       21.70597982,      0.2331804944,       1.852885809
         172,      -6.981172903,       26.04717578,       26.04717578,      0.2334346904,       1.854025583
         173,      -6.979357154,       31.25661094,       31.25661094,      0.2338022751,       1.855597243
         174,      -6.977557934,       37.50793313,       37.50793313,      0.2343647155,       1.857892577
         175,      -6.976316808,       45.00951975,       45.00951975,      0.2352208224,       1.861139445
         176,      -6.975709637,        54.0114237,        54.0114237,      0.2365090947,       1.865557428
         177,      -6.975536102,       64.81370845,       64.81370845,      0.2384044424,       1.871450784
         178,      -6.975360867,       77.77645013,       77.77645013,      0.2411313681,       1.879313196
