"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,         209,      -6.309987778,      -4.819425529,      -5.306155321
          0,           0,         210,      -6.312950078,      -4.823585739,      -5.319908677
          0,           0,         211,      -6.308562356,      -4.829221812,      -5.334796118
          0,           0,         212,      -6.302482949,      -4.835439824,      -5.347533738
          0,           0,         213,      -6.292840369,        -4.8422744,      -5.357945984
          0,           0,         214,      -6.282744846,      -4.849689056,      -5.366151143
          0,           0,         215,      -6.274532764,      -4.857621112,      -5.372238005
          0,           0,         216,      -6.269526132,      -4.866006272,      -5.376294355
          0,           0,         217,      -6.268180931,      -4.874793263,      -5.378452109
          0,           0,         218,      -6.270295839,      -4.883951842,      -5.378894245
          0,           0,         219,      -6.275259873,       -4.89347525,      -5.377838376
          0,           0,         220,       -6.28536218,      -4.894383247,      -5.377229522
          0,           0,         221,      -6.289036821,      -4.895495569,      -5.376572818
          0,           0,         222,      -6.291423575,      -4.896854806,      -5.375748504
          0,           0,         223,      -6.293464888,      -4.898513282,      -5.374707034
          0,           0,         224,      -6.295508995,      -4.900534523,      -5.373523872
          0,           0,         225,      -6.297778612,      -4.902991439,      -5.372307974
          0,           0,         226,       -6.30041945,       -4.90597353,      -5.371100319
          0,           0,         227,      -6.303726163,      -4.909585398,      -5.369805633
          0,           0,         228,      -6.307761346,      -4.913970425,      -5.368310168
          0,           0,         229,      -6.312285584,      -4.919329217,      -5.366498605
          0,           0,         230,      -6.317023418,      -4.925930364,       -5.36417568
          0,           0,         231,      -6.321488604,      -4.934150214,      -5.361152988
          0,           0,         232,      -6.324808135,      -4.944514717,      -5.357361881
          0,           0,         233,      -6.325668036,       -4.95774377,       -5.35292983
          0,           0,         234,      -6.342804273,      -4.959074235,       -5.35174087
          0,           0,         235,      -6.349260978,      -4.960697968,      -5.350622096
          0,           0,         236,      -6.353513134,      -4.962666839,      -5.349518414
          0,           0,         237,      -6.356908384,      -4.965051035,      -5.348361374
          0,           0,         238,      -6.359738215,      -4.967947484,      -5.347140596
          0,           0,         239,      -6.362066398,      -4.971473477,      -5.345870813
          0,           0,         240,      -6.363911454,      -4.975773061,      -5.344550502
          0,           0,         241,      -6.365366396,       -4.98102815,      -5.343158894
          0,           0,         242,      -6.366598664,       -4.98747218,      -5.341689922
          0,           0,         243,      -6.367767805,      -4.995412069,       -5.34017332
          0,           0,         244,      -6.368977817,      -5.005258681,       -5.33869064
          0,           0,         245,       -6.37030985,      -5.017553417,      -5.337462112
          0,           0,         246,      -6.371744928,       -5.03298711,      -5.336952227
          0,           0,         247,      -6.388899797,       -5.03457558,      -5.336348076
          0,           0,         248,      -6.395580314,      -5.036509691,       -5.33590677
          0,           0,         249,      -6.400203082,      -5.038832247,      -5.335630101
          0,           0,         250,      -6.404145833,      -5.041613247,      -5.335471992
          0,           0,         251,      -6.407711453,      -5.044960288,      -5.335413501
          0,           0,         252,      -6.410986969,      -5.049004968,      -5.335475439
          0,           0,         253,      -6.414028871,      -5.053902906,      -5.335705435
          0,           0,         254,      -6.416960079,      -5.059842935,      -5.336167072
          0,           0,         255,      -6.420012259,      -5.067059484,      -5.336948524
          0,           0,         256,      -6.423466474,      -5.075848605,      -5.338181179
          0,           0,         257,      -6.427538327,      -5.086589527,      -5.340048619
          0,           0,         258,      -6.432314421,      -5.099767089,      -5.342819878
          0,           0,         259,      -6.437774004,      -5.115991096,      -5.346938544
          0,           0,         260,      -6.443504035,      -5.136015588,      -5.353106311
          0,           0,         261,      -6.468975759,      -5.138143687,      -5.353182635
          0,           0,         262,      -6.478319613,      -5.140712188,      -5.353628309
          0,           0,         263,      -6.484843227,      -5.143753013,      -5.354460982
          0,           0,         264,      -6.490530658,      -5.147346264,      -5.355639701
          0,           0,         265,       -6.49579231,      -5.151626325,      -5.357160201
          0,           0,         266,      -6.500726824,      -5.156755368,      -5.359076159
          0,           0,         267,      -6.505414543,      -5.162920496,      -5.361491806
          0,           0,         268,      -6.510042583,       -5.17034525,       -5.36455374
          0,           0,         269,      -6.514904768,      -5.179306289,      -5.368460248
          0,           0,         270,      -6.520280152,      -5.190148911,      -5.373479277
          0,           0,         271,      -6.526244675,      -5.203297132,      -5.379967045
          0,           0,         272,      -6.532593603,      -5.219252348,      -5.388424036
          0,           0,         273,      -6.538956865,      -5.238571147,      -5.399600955
          0,           0,         274,      -6.555688996,      -5.258035558,      -5.411836736
          0,           0,         275,      -6.573341956,      -5.277373062,      -5.425295704
          0,           0,         276,      -6.591213419,      -5.296402512,      -5.439970507
          0,           0,         277,      -6.609551621,      -5.314951492,      -5.455857291
          0,           0,         278,      -6.628616458,      -5.332861154,      -5.472967212
          0,           0,         279,      -6.648499621,      -5.349988278,      -5.491318753
          0,           0,         280,       -6.66906835,      -5.366206954,      -5.510927719
          0,           0,         281,      -6.690041251,      -5.381415131,      -5.531798527
          0,           0,         282,      -6.711096655,      -5.395541622,      -5.553922159
          0,           0,         283,       -6.74303151,      -5.397049351,      -5.556014857
          0,           0,         284,      -6.751838463,      -5.398823738,      -5.558769255
